GVKEY,fyear,prccd_var,num
1004,2014,2.4678774615822343,252
1004,2015,13.433338904698637,252
1004,2016,27.634554670207987,252
1004,2017,8.042681851792803,251
1004,2018,8.62962929402388,251
1004,2019,21.853687250995996,252
1004,2020,98.30353376309678,253
1004,2021,10.268792461898501,252
1045,2014,28.48096141517931,252
1045,2015,20.093943920745588,252
1045,2016,25.461647528536627,252
1045,2017,10.017730683665357,251
1045,2018,54.55961737370514,251
1045,2019,8.960214307847947,252
1045,2020,32.47689218504927,253
1045,2021,5.556206758679546,252
1050,2014,1.847712231629032,252
1050,2015,4.580492131474108,252
1050,2016,6.065694919923489,252
1050,2017,5.534552965737035,251
1050,2018,2.115724203187253,251
1050,2019,0.7389592613672299,252
1050,2020,1.5659431802497048,253
1050,2021,0.457396113956873,252
1062,2014,2.1204039352184876,252
1062,2015,2.502217236400438,252
1062,2016,6.795569205338014,252
1062,2017,0.3303084575247833,251
1062,2018,0.853934566020721,251
1062,2019,1.766982019366819,252
1062,2020,18.33868199778405,253
1062,2021,1.6735381113088885,252
1072,2014,0.27004871308417344,252
1072,2015,0.46110653892366843,252
1072,2016,1.5900311832036886,252
1072,2017,1.014118205577693,251
1072,2018,2.533700666135456,251
1072,2019,3.095687946626202,252
1072,2020,0.359638870056496,60
1075,2014,15.918507928603093,252
1075,2015,11.818232724656834,252
1075,2016,17.603635456586403,252
1075,2017,15.202712385657376,251
1075,2018,15.74710326374507,251
1075,2019,14.530741091190759,252
1075,2020,73.24649918125348,253
1075,2021,48.55014297097301,252
1076,2014,10.584228628343766,252
1076,2015,26.404442970973275,252
1076,2016,8.088335224182646,252
1076,2017,29.662842852589634,251
1076,2018,16.493457163346747,251
1076,2019,44.751072337633595,252
1076,2020,167.81541081309993,253
1076,2021,15.573081545247536,252
1078,2014,5.637401094036472,252
1078,2015,6.952214715740175,252
1078,2016,4.917739712578257,252
1078,2017,25.132798403187095,251
1078,2018,21.475718282071785,251
1078,2019,25.66555657212441,252
1078,2020,115.9417536012297,253
1078,2021,48.06980066242984,252
1094,2014,3.633151006687544,252
1094,2015,10.59713253770632,252
1094,2016,4.42161902034718,252
1094,2017,8.945707024701221,251
1094,2018,8.34557742864222,251
1094,2019,0.1831300598333894,189
1104,2014,0.9454381195516425,252
1104,2015,0.6625315540623191,252
1104,2016,7.135498111058492,252
1104,2017,3.7025288396356855,251
1104,2018,7.225649644997906,251
1104,2019,4.61472605206602,252
1104,2020,11.618296684948552,253
1104,2021,19.256258137307274,252
1117,2014,0.5989418812704729,252
1117,2015,0.7877687086718194,252
1117,2016,0.30831457495731496,252
1117,2017,0.4298610099314725,251
1117,2018,0.042306238052270864,251
1117,2019,0.17808480031809243,252
1117,2020,0.2372288064244936,253
1117,2021,0.6940813982854299,252
1119,2014,0.2973187554978462,252
